,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Cbl,1.1887782,-2.793242,-0.219056,0.47686434,0.17879976,-0.33752525,0.66126645,-2.6150186,0.44349653,0.46573496,0.101714864
Arcn1,1.1237658,-1.3297927,-0.47796732,0.056744635,0.2609491,-0.1239067,0.70836127,-1.2591629,0.6139331,-0.14240229,-0.66010344
Ddx6,-0.043103427,0.09633923,-0.06890584,0.22479588,0.0700373,-0.042723734,-0.050712045,-0.01941623,-0.00011003087,-0.027580025,0.09167406
Kmt2a,-0.06271342,-0.4781745,-0.031135084,0.62098587,0.13062178,-0.059451353,0.5736116,-0.18640074,-0.03502295,-0.13030459,0.030200807
Cd3g,1.0935605,-0.5034557,-0.16734189,-0.006298027,-0.34757397,-0.29506788,0.020118847,-0.85339665,0.660116,0.0076965378,0.10822658
Cd3e,1.1176927,-1.5203483,-0.111781865,0.28882077,-0.59132475,-0.14080772,-0.09230287,-1.5390974,0.78060836,-0.30790162,-0.10013405
Cd3d,1.3484718,-0.6895237,-0.49561286,-0.16950746,-0.24772699,-0.4050338,-0.5085863,-0.91764235,1.2089149,-0.6840142,0.30179673
Fxyd2,1.2167698,-2.6876235,0.08692265,-0.5525068,-0.4564088,0.74612224,-1.0889134,-1.1814246,1.8135211,0.078656495,-0.90886253
Sidt2,-1.2972238,1.2944735,-0.04598135,-0.035545025,-0.09007402,0.3288341,-0.12920572,0.6695243,-0.23543407,-0.23568577,-0.75396425
Pafah1b2,0.3540879,-0.81668746,-0.85609895,0.224643,0.2144746,0.40785283,-0.110261425,-0.73920906,-0.06429207,-0.6870161,0.92682666
Sik3,-0.496203,-0.37437803,0.54343325,0.45535004,0.04120714,-0.23690456,0.4910143,-0.4721262,-0.41938767,0.44943714,0.4468383
Rexo2,-0.84592295,1.1730151,-0.057084672,-1.0086224,0.066653505,0.18187928,-0.9156339,0.9161035,-0.11314446,-0.58020127,-0.45140198
Sdhd,-0.33534008,0.83382905,0.09100439,-0.91839707,-1.3794322,0.22998987,-0.3060687,0.34125575,-0.13542126,-0.06736051,-0.58981574
Rdx,1.5611851,-1.5154345,-0.65241235,0.052299067,-0.26903072,-0.31535488,0.012895475,-1.0237358,0.6672408,-0.34970868,-0.24032576
Ddx10,0.7150898,-0.6382315,-0.24735557,0.5178483,-0.71332735,-0.8621685,-0.2547622,-0.4621559,0.11069468,-0.1336271,-0.43629184
Acat1,1.0133953,-1.222598,-0.5694309,-0.41945913,-0.48685944,0.6898827,-0.41730988,-0.4366368,0.27619782,0.2951544,-0.6176314
Cul5,-0.21011066,0.47582984,-0.0991096,0.33134177,-0.19451961,-0.026575861,-0.108058415,0.032635875,0.0073900428,-0.19696932,-0.3375188
Ireb2,0.73819935,-1.3667362,-0.029792346,0.43187803,0.39799923,-0.6042093,-0.32451084,-0.9704635,-0.07813938,0.68280333,-0.34833848
Scaper,-0.80115646,0.42633104,-0.2950144,0.33258995,0.7137631,-0.17304464,-0.12241519,0.076326124,-0.19686273,0.061760943,0.40275836
Tspan3,-1.4155918,1.226158,-0.16222185,-0.23649158,0.029121231,0.4640184,-0.8478411,0.45535827,-0.22360563,-0.41218406,0.08337882
Pstpip1,-0.36621016,0.23156725,0.3052561,0.25128466,-0.018207844,-0.45338786,0.064702034,-0.25086504,-0.1916653,0.25804228,0.41690993
Peak1,-0.6878049,0.22043134,0.8213331,-0.14599726,-0.26547825,0.0429191,0.38392738,-0.37757513,-0.95897704,1.0005598,0.09410322
Hmg20a,-0.13486838,-1.0824568,0.25656804,0.5241725,0.36720926,-0.35901454,0.5013141,-0.9210843,-0.32386014,0.4696605,0.24570332
Sin3a,-0.13716199,-0.06345419,-0.17011416,0.5954674,-0.0033547855,-0.067679144,-0.041449185,-0.062271766,-0.013772052,-0.1006152,-0.052571665
Cox5a,0.8716568,1.3004161,0.14137357,-1.3129721,-1.599222,-0.9068849,-1.2952356,1.3437194,0.395529,-0.6903236,-1.3301513
Scamp2,-2.4804802,1.7955108,0.79557395,-0.29683807,0.102010645,-0.39639887,0.48817426,1.0958694,-2.0337842,-0.30646428,0.19517225
Csk,0.123200744,-0.11334573,-0.44162747,0.08771409,0.072161615,0.090954505,0.0734175,-0.021872083,-0.0005707968,-0.67446053,0.010524812
