,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
46_111,38.50636,3.2705183,1.9633136,0.7439141,0.77289295,582.69244,1.4810368,1.9517095,6.2264833,1.0015751,1.4318527,0.71037257
42_56,1.2634028,27.45469,1.178789,0.7363454,0.6491319,0.6229442,0.44018424,1.5411228,0.43681696,1.0029782,0.7657512,2.5022407
27_87,14.271496,2.4398057,8.249237,1.2963691,1.4762859,1.3728178,3.2200844,1.8857961,5.18508,0.9140413,1.0698757,0.48304293
57_92,3.3686013,3.3295414,3.421391,1.9777825,10.570915,1.3286287,9.431719,3.0827472,2.23302,1.1098565,1.5323094,0.9180875
39_59,1.8082149,7.378127,2.518077,2.1135802,1.036305,0.65714455,1.1364851,26.865326,0.9487632,2.3644452,1.2388545,9.637319
21_44,0.99832875,37.67462,1.2672659,0.73120725,0.5031569,0.6468494,0.40223306,0.7121038,0.39175826,0.5929055,0.54326844,0.730974
29_20,23.727245,4.604887,1.609307,1.1892312,0.7026738,1.279467,1.1606864,8.088896,3.925843,0.53837824,0.71295553,0.8957312
57_29,3.9699926,3.114912,29.471525,2.3013258,1.7866206,1.141387,5.675782,2.284245,1.2481605,1.1859505,2.3274295,0.76485056
33_71,2.064847,16.111277,1.5738144,1.014538,1.4733021,3.8132763,0.67303246,6.744335,0.76335925,12.542907,1.4148152,15.81744
23_80,4.5561037,2.9584112,3.4461389,6.1303315,1.1152103,1.4234562,5.3190665,8.7376375,4.388277,0.90276927,0.91841614,1.4241835
36_76,3.2628067,4.8116503,1.5774338,0.79884636,9.012212,0.9814934,1.0513476,3.5984402,0.7058865,43.767303,16.427263,2.9914405
63_2,9.619852,2.759759,4.389572,1.4163404,0.7959741,1.1023602,1.6388991,6.3663044,13.510104,0.73620194,1.0616137,1.0304716
40_26,1.1535708,95.09989,1.4540135,0.7409482,0.52959853,0.6896609,0.4391996,1.0451617,0.511689,0.6569029,0.6437611,1.1313647
6_61,26.723648,2.9824507,1.718725,1.8081404,0.93423283,1.4251356,1.7180159,4.4020224,0.94800395,1.2383155,1.0402826,1.8671316
12_36,3.7037964,2.6134605,15.596153,1.6972084,1.147239,0.8732192,3.0124965,3.3039718,3.9664261,0.70681864,1.0670105,0.96391124
36_59,2.84172,4.437147,1.9789228,2.2754257,68.370605,1.0386523,9.117234,3.0740323,1.287159,2.2112687,1.8735646,1.574498
4_58,13.2448015,2.3933287,7.3324776,1.212775,0.8794906,1.0800256,1.6032788,3.0193663,2.7308557,0.5373039,1.3274581,0.7228602
15_69,10.562896,2.939782,2.5939457,1.7152109,1.0838432,1.455006,2.8306828,0.9893317,7.7820277,1.2354296,1.8659163,0.6852288
22_31,2.2069297,4.3406663,4.3366623,11.904217,0.88206613,0.977314,2.37905,13.316753,3.1994007,0.85006505,0.9287574,2.0732214
53_80,4.555208,3.577692,2.555942,2.3416634,7.4544487,1.2426223,1.5988649,4.253129,1.8852457,1.7222786,3.2973773,1.5740023
47_10,2.1894927,7.1716566,2.7409515,1.7526209,1.8474003,0.8004703,1.5524284,51.016052,0.95004857,5.655044,2.3000245,47.21398
39_40,2.3504758,3.1024733,10.862341,6.367687,1.4343888,1.2197418,3.1823206,3.0059438,4.177698,0.94321597,1.0166522,0.8598194
1_56,42.76411,2.7680788,1.7475114,0.780685,0.8688809,1.3498437,1.1723036,1.0678265,3.2126873,0.5736403,1.0631297,0.58560103
46_15,0.9955849,36.825794,1.2881984,0.6016619,0.5315509,0.64395934,0.43421692,1.2511091,0.44104406,0.81643003,0.5793892,1.1379727
21_61,3.3003373,3.8941996,3.07066,4.153916,2.025459,1.2353562,12.877268,19.976698,1.377721,1.9520954,1.0830567,6.3415823
34_33,1.7737702,10.243406,2.3396506,1.7524512,1.074729,0.7603126,2.074461,18.002546,2.5673606,0.7862835,0.9002315,1.9649311
42_63,2.7077432,4.0774755,2.0536377,2.981671,4.6214805,1.1991001,4.289743,1.9875691,1.0197175,4.2651315,2.7372682,1.0468174
31_47,1.3744326,37.0845,1.2167522,0.6042408,0.90832365,0.8390115,0.41166615,1.6144391,0.45718342,0.7266353,0.6474078,1.4058025
54_80,33.382908,2.5857537,2.492861,2.0086136,1.5724049,1.2470688,1.9233165,2.2121024,2.3833125,1.0215621,1.1196291,0.9606778
44_71,3.304417,3.5262775,2.4317286,5.834887,10.221622,0.76598364,2.7582357,3.7179718,4.0471916,2.508524,2.609591,1.3295361
53_105,1.1470373,35.927254,1.1522447,0.5696775,0.581777,4.338188,0.3672758,1.175027,0.44216475,0.6090653,0.5364564,1.5146749
26_58,1.04124,41.81173,1.280665,0.81222665,0.6150166,0.67359495,0.42040184,0.67571867,0.3904025,0.7059211,0.6037373,0.8051117
18_43,1.367469,39.204643,1.2098489,0.76503253,0.7246053,0.8321248,0.4798747,0.48421526,0.5867757,0.802975,0.9896491,0.67453015
37_40,2.9725335,3.1907282,12.8415165,1.9512774,1.3991342,0.9832628,3.3018541,1.9179535,2.3251631,1.175579,1.319418,0.59010583
51_107,1.4944948,39.06057,1.512222,0.8830403,0.7753261,1.7926869,0.6088434,1.7080548,0.64830595,0.6365441,0.5980896,0.7115376
21_42,0.99761283,81.59828,1.4601362,0.8273716,0.46770227,0.6609141,0.38041094,0.72851574,0.41032192,0.58835447,0.5542913,0.673402
32_38,3.1617262,2.9767842,4.471289,3.6585734,6.9341435,1.3431023,4.44062,9.04751,3.4184663,1.119608,1.1285137,1.7989175
43_32,11.399583,2.489543,12.349664,2.0209417,0.8398502,1.4106641,2.1550376,3.6002126,2.2469049,1.1466618,1.1850672,1.1710687
45_52,1.0652986,113.931816,1.4349885,0.7497857,0.43190378,0.6487936,0.42092428,1.294374,0.5034651,0.60390127,0.6805513,1.688151
