,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Sh3pxd2a,-0.28727114,0.2637835,-0.2233423,-0.029589392,0.12051439,-0.027545594,-0.0017535775,-0.035720993,-0.009461423,0.027965799,0.0025522418
Add3,-0.97824925,2.1766624,-1.462759,-0.76805663,-0.3054758,-0.50175834,0.14383589,-0.45127538,-0.18130906,-0.29059404,0.17400199
Mxi1,0.9336257,-2.0770857,0.11854738,-0.052617423,0.5804843,0.20310324,-0.017779788,0.081740044,-0.028610062,-0.11473907,0.014980227
Dusp5,-0.9310018,2.0758462,-0.75728375,-0.96483904,-0.42440608,-0.5432475,0.051749524,-0.49119374,0.0034065235,-0.18418345,0.2969336
Smc3,0.3025198,-1.7439066,0.8279683,0.2403856,-0.22570756,0.33470723,-0.011850122,0.34449962,0.040421247,-0.27685112,-0.1468768
Shoc2,0.9707277,-0.7745585,0.608033,-0.31542802,-0.3731276,-0.06863367,-0.010929023,-0.078466095,-0.053779084,1.0446272,-0.011798743
Pdcd4,-0.060036838,-0.19059463,0.2936027,-0.00760083,0.009417411,0.0055829845,-0.0010605558,-0.033929266,0.0007386546,-0.2520502,-0.03867887
Vti1a,1.8344657,-1.4390188,-0.2825312,0.22696063,-0.61782247,-0.38360286,-0.018700277,0.48104575,-0.107079744,0.610129,-0.26029432
Atrnl1,1.099623,0.017810091,-0.4154976,0.007574569,-0.7108525,-0.12910074,-0.0026794223,0.15205212,-0.027411863,-0.02103022,-0.019461188
Pdzd8,0.6618316,-0.992809,0.3481303,-0.3026552,-0.057891533,0.0641366,-0.025785722,0.4808254,-0.10124364,0.37939796,-0.063426115
Cacul1,0.86449647,-0.80550194,0.19344358,0.0052539497,-0.08375433,-0.032248653,0.0011310088,-0.010219856,-0.0020930967,0.057234734,-0.022552703
Frmd4a,0.35463953,-0.11782202,-0.5001986,0.15139335,-0.10476875,-0.3354656,-0.00897511,-0.14842732,-0.01956877,0.9487107,0.016191244
Prpf18,0.35744733,-0.72947174,0.8861507,0.0019577178,-0.20852156,-0.059497707,-0.0034454125,0.055124227,-0.018875359,0.75903255,-0.024175538
Fam107b,0.7950975,-0.9126137,0.8158771,-0.022086045,-0.16648388,0.029938962,-0.021098912,0.046136837,-0.11717649,0.68238074,-0.094785556
Upf2,1.5249956,-1.537672,0.58254147,-0.515837,0.015644908,-0.12898849,-0.011671398,0.44378096,-0.23255534,0.28230068,-0.057016686
Taf3,1.2894676,-1.8422588,0.121746466,-0.03408885,0.06399939,-0.19632228,-0.025417317,0.25013956,0.0233708,0.80727434,-0.15345979
Atp5c1,0.3477,-2.057274,1.1991931,0.29963958,-0.16765058,0.22552228,-0.07303432,-0.15750562,-0.001307802,0.24845679,-0.42775387
Celf2,0.886513,-2.0597143,0.45224026,-0.00035769917,0.32824394,0.5376264,-0.08679134,0.25481084,0.077172115,0.60692495,-0.7080949
Pfkfb3,-0.6784689,2.0748308,-0.6497318,-0.2981111,-1.1516418,0.019180104,-0.08085772,-0.18010099,-0.36360064,-0.19223608,-0.47839043
Rbm17,-1.0730977,0.2507066,0.018079124,0.016328301,0.12330147,-0.070447996,0.00064235413,-0.050850112,-0.005074293,-0.63311386,-0.002473352
Mindy3,1.5165408,-0.96886426,-0.2994316,-0.48657617,-0.025206983,-0.35723606,-0.023538332,-0.020757502,0.010331701,0.5248882,-0.054246295
Vim,-2.6188378,3.5066226,-1.2907555,-1.0939023,-1.4138427,-1.0351235,0.066913106,-1.0226121,-0.29781276,-0.74889404,-0.10205092
Nebl,1.7019187,-5.8166475,1.5622195,0.7618596,0.16905491,1.3153919,-0.41332728,0.77424467,-0.029531756,0.85348463,-0.85191077
Plxdc2,1.8053508,-5.083305,0.53500855,0.15444557,0.5791276,0.38495368,-0.32571667,0.6239077,0.5761162,0.97335505,-0.7450413
Mllt10,1.5590236,-2.678068,0.34547347,-0.14058928,0.072193265,0.11924437,-0.026250403,0.63093233,0.05834636,-0.111432076,-0.049516656
Dnajc1,1.683393,-1.1202052,-0.1975999,-0.2034537,-0.40011853,-0.046135254,-0.021800902,0.30191147,-0.008742386,0.21112318,0.0034406022
Pip4k2a,1.107544,-2.327365,0.52628595,-0.34238747,0.47625,0.43485108,-0.08195836,0.2574271,0.19650123,0.46562144,-0.23559
Camk1d,0.22035173,-0.322051,-1.4126792,-0.23049304,0.7089072,-0.43331423,-0.8448789,-1.3723327,1.0408095,1.0899004,0.4062401
Apbb1ip,0.7175613,-1.579283,0.610684,-0.013581673,-0.1502573,0.058391128,0.0064941673,0.1643686,-0.0063108704,-0.67267567,0.024002446
