,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
TAF7,-1.1036671,0.51325655,-0.23584294,-0.6961741,-0.31066772,0.53666496,-0.0481888,-0.031166052,0.18018559,0.09329032,-0.03366725,-0.33967873,-0.24267079,0.51224655,-0.012876856,-0.6466624,-1.2981745,0.21325202,-0.1900479,0.5110109
DIAPH1,0.11535444,0.252046,-0.13314307,-0.5243823,-0.29939803,0.22875127,0.21661386,-0.78333217,-0.08922975,-0.044172782,0.26299655,-1.5003344,-1.0169259,-0.019105647,-0.30957067,0.059152104,-0.21892484,0.12328483,0.17847885,0.22295745
NDFIP1,0.07205728,-0.038040057,0.0057959952,0.00870579,-0.00047343905,-0.0033287029,-0.000901048,-0.017350476,0.02171122,-0.0040652007,0.0008148101,0.033756476,-0.36594233,-0.0014410338,0.238755,0.002356156,-0.12734431,-0.07238341,-0.010930158,-0.002024003
ABLIM3,-0.6559285,-0.02810344,-0.13124233,0.053041518,0.0066764867,-0.10728654,-0.02357197,0.20859346,-0.39496934,0.46482036,-0.0057807667,-1.0541209,0.05773239,-0.007588056,-1.1423416,-0.118496045,0.3496878,0.26850834,-0.064570956,0.35263377
CSNK1A1,0.56274563,-0.035507143,0.019386757,0.0136402305,-0.027733676,0.0007786475,-0.07702857,0.025221048,0.024467595,-0.03475933,-0.0012469693,0.36435577,-0.04903943,-0.0038555874,0.34773162,-0.005607149,0.13022174,-0.07492364,0.048653893,-0.08696568
CSF1R,-1.1041005,0.90313214,0.6853649,-1.3876904,-0.43570518,-0.021423398,-0.41610518,-1.6021814,0.48616207,0.37218884,-0.64490885,-0.7086629,-0.306977,0.6486322,0.55974764,0.6817117,-0.90925145,0.43384746,-1.9037311,-0.04022697
SYNPO,0.0014066792,0.96200174,-0.5589421,-2.0155818,0.29538107,-2.487366,-1.3715068,-0.10143784,0.8720468,1.0545607,-1.7265844,-0.7288287,-0.19223744,0.024688842,0.8142952,-0.66555053,0.37110293,1.098381,-1.2421495,-0.20377596
TNIP1,0.38779825,-0.05377275,-0.020847082,0.057811316,-0.019052261,-0.0006617486,0.041856263,0.07694768,-0.09573303,-0.00992733,0.005087296,0.17891237,0.09152771,-0.004394493,-0.55768657,-0.0031581558,0.25047186,-0.12825438,0.15234804,-0.04846891
ANXA6,0.14730413,-0.45571065,0.149969,0.118120246,0.11336643,-0.1028693,-0.01314055,-0.2541381,0.31990987,-0.27509964,-0.028045993,-0.32044035,0.16682209,-0.00803956,0.44554356,0.0010495188,-0.01649849,-0.4100915,0.004558801,-0.24756227
ATOX1,-0.4195708,0.10843739,0.18359368,-0.102341376,-0.07057121,0.04026968,-0.25515324,0.070394896,-0.24365145,-0.19183174,-0.009610339,-0.6879692,-0.15537147,0.023347788,-0.31119967,0.09530535,-0.39577898,-0.19973199,0.10039058,-0.0005766903
G3BP1,-1.0945109,-4.18744e-05,0.04076933,0.006354501,-0.050936494,0.00094039127,0.038797546,0.0026116087,0.12912357,0.036559556,-0.013366113,0.006192871,0.2052834,-0.0006748344,-0.6391137,0.0029132287,-0.429081,-0.014435254,-0.024847083,-0.014691457
LARP1,-0.13618201,-0.36370566,-0.4121683,0.007896489,-0.00096040417,0.1702557,0.24183111,-0.31461823,0.252684,-0.113204874,0.06272257,-1.5219115,-0.14611377,0.009336248,0.22865829,-0.0030809543,-0.082956485,-0.17661786,-0.17158666,0.032925762
