,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
70,8.305183,2.6025534,0.37318927,0.5247922,0.44783333,0.5162686,4.807426,1.1622913,0.4497496,1.1027006,0.83150196,1.7728363,1.2313923,1.2397486,1.7376837,1.4768225,0.5689314,82.576324,0.7656572,58.62541,1.5755665,1.4456526
71,8.3022785,2.1820164,0.3805508,0.55601746,0.52801454,0.48045623,4.12773,1.1708674,0.58108974,0.84231615,0.7851467,2.784124,0.9035086,0.99923795,1.3330165,1.5746567,0.45319787,56.556606,0.86571,67.397675,1.5727655,1.4255308
72,7.465776,2.3889775,0.41539448,0.5928066,0.5883224,0.5242815,5.8210883,1.1219261,0.53706884,0.7078511,0.8947112,1.6711789,0.9221664,0.98330826,1.2138742,3.6171184,0.3486156,57.076916,1.0620835,36.08495,1.3740867,1.3624907
73,11.098197,2.1813765,0.38337183,0.5739752,0.5178207,0.41974127,4.301327,1.1152494,0.47975272,0.667617,0.6636751,2.9863434,0.6948913,1.077495,1.0886791,3.5106282,0.41106218,18.814714,1.1523132,57.91466,1.5527146,1.4148601
74,9.2666,2.6604595,0.41272187,0.5973859,0.47680527,0.5187546,5.8372164,1.1239399,0.38174886,0.7547955,0.77533096,1.9407848,0.9260215,1.638195,1.180986,4.40064,0.3624337,16.239147,0.81101596,20.791296,1.3820302,1.1382881
75,6.490571,2.4077039,0.4069958,0.6283064,0.53676754,0.52580476,3.3987937,1.1455077,0.5143384,0.92134553,0.5544258,2.095224,0.9609229,1.4514087,1.6157451,2.9810052,0.4352489,12.373238,0.80837435,73.841606,1.6214496,1.505113
76,14.477293,1.9412533,0.39317644,0.5670357,0.5022348,0.49598292,1.6565976,1.0996886,0.5303662,0.9348677,0.5668596,2.1047401,1.1176877,1.7474989,1.889157,3.281578,0.41238844,13.7574,0.6561271,198.10796,1.7463105,1.6318913
77,12.479095,1.926603,0.3746764,0.55240023,0.47901458,0.5048975,1.5103976,1.1215118,0.6071077,1.0375599,0.5180747,2.2236187,1.159849,1.7483292,2.1387892,2.117454,0.40401232,12.56922,0.6009189,153.84418,1.673094,1.5397805
78,17.401608,1.9234236,0.36360675,0.5340169,0.42650953,0.5151833,1.5351336,1.1258559,0.5588265,0.7107831,0.88378024,1.460867,0.88615453,1.6580387,1.4144099,3.0109816,0.4076974,8.77274,1.2934481,257.74173,1.7411873,1.602694
79,17.891287,2.265094,0.3656947,0.39195812,0.4223433,0.41571617,3.6000288,1.3719527,0.42536062,0.5819223,1.1290019,1.4682252,1.0121299,1.2806823,1.8603865,2.000798,0.37011087,9.68178,1.572944,215.7782,1.2675753,1.5917398
80,27.964672,2.5343513,0.39177787,0.40245396,0.47624296,0.38887876,1.8477552,1.8474182,0.4496516,0.8031617,0.6560219,2.1193054,1.8453825,1.6180584,4.0800147,0.3288961,0.4939983,11.79356,1.0168595,12.555226,1.285723,1.2975985
81,1.1991167,2.5946457,0.56626356,1.7945068,2.3012679,0.5571464,3.6534755,0.93386596,0.3219822,0.58725256,2.1842852,0.84017766,0.46859616,1.7695879,1.2790902,0.5875739,0.60938895,22.394667,1.1060878,32.459957,1.7709659,1.0742031
82,1.1438985,2.4814467,0.49852192,2.1137397,2.313148,0.64942527,3.3282382,0.94539696,0.32335186,0.58725256,2.1842854,0.8401777,0.46859616,1.7695879,1.2790902,0.58757395,0.60938895,22.39465,1.1060878,27.239006,1.9407798,2.2250135
