,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
S100A4,0.07131291,0.5414939,0.15147957,-0.88221085,-0.14954023,-0.13149543,0.017709376,0.116488755,-0.02149545,0.44124067,-0.2452744,0.4562459,0.30794346,0.016276315,-0.56825215,0.6381994,-0.9756663,-0.78778833,-0.44976875
S100A16,0.028619241,0.111184806,0.09855635,-0.18217938,-0.38124442,-0.007637398,-0.2938233,0.3764531,-0.0003209799,0.5594357,0.011033146,0.25171524,-0.1820011,0.44777977,-0.40017712,0.12516269,-0.12251902,-1.9700111,-0.023337701
S100A13,0.020804217,0.6064334,-0.02730032,0.047125883,-0.0628285,-0.0032018013,-0.16076337,0.023397185,0.0003561516,0.28458297,-0.051857263,0.42019567,0.22305821,0.11393197,0.03462503,-0.05493251,-0.0980141,-0.032675937,-0.027819272
S100A1,0.8948645,-2.5632527,0.7173102,-0.9607478,0.44803748,-0.08772898,0.27808398,-0.047221333,-0.7983745,-1.2797467,1.2813462,-2.4484394,-2.342227,-2.2299278,-1.5279473,1.2333184,0.467209,-2.1679342,0.25138015
ILF2,-0.040365085,-2.2214596,0.37796363,-0.6403005,0.21439476,0.006628953,0.0106332125,0.16319424,0.0097032245,-0.5799971,0.36083752,-1.8930779,0.0015776348,-0.4045827,-0.12675154,0.02947261,0.8567318,-0.9292596,0.19778705
SLC39A1,0.07877759,-2.6543732,0.118897185,-0.8123319,0.166369,-0.010925367,0.29927585,0.01287019,-0.013725395,0.14078552,0.11159609,-2.0042026,-0.27040893,-0.38400346,-1.418679,0.39668974,0.26344863,0.336045,-0.037712567
JTB,-0.0011202212,-0.4956299,0.02096751,-0.021749798,-0.006955315,0.003377036,-0.011331979,-0.020685906,0.0020879987,0.01859469,-0.01695862,0.0199286,-0.32957423,0.09400924,-0.16209243,-0.0077067963,0.23228647,-0.06023206,-0.039267335
RAB13,0.03256145,-0.8095171,0.044608258,-0.28927022,-0.14526515,-0.01937613,-0.014238992,0.4074488,0.014035213,0.26451167,-0.005288974,0.0058348533,-0.18670432,-0.8009405,-0.014778508,0.09899077,0.5072372,-0.57303786,0.06718965
TPM3,-0.01943104,0.876253,-0.028588142,0.024921244,-0.032206457,-0.0010690257,-0.009493799,0.008857616,-0.0010258636,0.3725122,-0.12377943,0.6531499,0.026188267,-0.014772926,0.29586437,-0.100889765,-0.87881595,0.2879019,0.05460166
C1orf43,0.013908733,-2.4011312,-0.00984133,-0.41108403,0.03885533,-0.005609031,0.0122495955,0.002161221,0.0073631518,-0.057899006,0.04254294,-1.0231155,-2.0976236,-0.67091227,0.28587458,0.12330627,0.17613909,-0.6762604,0.28904387
ADAR,0.013919358,-0.30218756,0.026553446,-0.098538056,0.026383756,-0.008297659,0.08258459,-0.034751162,-0.12440146,-0.32286274,0.016236493,0.22570077,-0.22754017,0.14983924,-0.19144815,0.06847476,-0.5466231,0.25840798,0.012974736
PMVK,0.07660699,-1.1798806,0.17391472,-0.44406235,-0.049043015,-0.022204233,-0.47237393,0.11864291,0.074890986,0.3754856,0.10253605,-1.427441,-0.2903925,-1.1702069,-0.67881435,0.09649252,0.6931552,-1.007185,0.1616606
PBXIP1,-0.0050290283,-0.0025589764,-0.0033673146,-0.0020914064,-0.25561616,0.013340283,-0.022238752,0.071343735,-0.0001854833,0.1888619,-0.03398191,-0.105522975,0.36892143,0.12846877,-0.6562627,-0.13035524,-0.13800979,0.16961251,-0.076741844
