,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
221.05748237296498,-5.002031,-8.648193,2.814893,0.8517406,2.2427628,3.0358284,-4.846439,-4.5047364,3.3406305,-26.249588,8.752861,-1.4471357
222.1963781206182,-5.749211,-8.970281,2.0967498,2.1222186,0.31041297,2.1872017,-5.814203,-5.644473,4.037077,-30.433197,9.36531,-2.7011745
223.10945238689277,-4.971345,-7.9444904,2.525853,1.6790247,2.2471106,2.7650957,-4.9721174,-4.4292464,3.728142,-23.658825,9.361446,-2.482129
227.06803885421309,-4.997293,-7.405222,2.4915535,1.9186401,1.816443,2.5546737,-5.1643114,-4.6887383,3.6132863,-22.05909,8.925921,-1.4237534
228.2264048730009,-5.486162,-4.0962186,-2.7890024,-3.006921,2.08719,-3.7066247,-5.689938,-5.2512417,4.275398,-25.232832,6.71662,1.1020561
231.06294028159982,-5.123943,-8.597038,2.7943134,2.2157538,2.1892984,2.8639016,-5.228013,-4.7281065,3.3819826,-25.507175,9.254654,-3.2776754
233.02111811266192,-5.049854,-7.2184,2.6287024,1.6065371,2.0022228,2.6998897,-5.048782,-4.8400126,3.6689117,-26.07993,8.954685,-0.44220743
234.0818681659536,-4.983354,-7.8095336,2.7474854,2.0604455,2.3706477,2.9268072,-4.7936635,-4.505663,3.1414888,-25.676966,8.6123085,-2.9233506
241.0473618927395,-5.1000047,-9.21609,2.7359943,1.8137279,2.2584476,2.8445158,-4.9519935,-4.5244036,3.2853746,-23.878962,9.083319,-3.0157955
243.0829710976259,-5.373729,-7.395752,2.4091473,1.9081978,2.047191,2.587117,-5.3924966,-5.0674853,3.7991564,-27.30345,9.336452,-0.15315568
243.09931152472012,-4.8541007,-4.378172,2.2297468,1.7455634,1.4962044,2.131811,-5.0558934,-3.0772398,3.7543144,-14.564972,8.768142,0.47438937
247.09425491750557,-5.0865583,-8.09028,2.5473762,1.9901184,2.313065,2.7967026,-5.014034,-4.666602,3.5280976,-26.223297,8.751427,-1.3172741
249.12513134687242,-5.512633,-3.2694492,3.3427448,-1.1157268,1.8800703,3.1153948,-2.806098,-4.6803765,2.3160918,-22.179493,9.345357,-4.4401035
251.10447077523585,-5.1132116,-8.306669,2.812969,1.8978992,2.0835998,2.8469353,-4.9937663,-4.6989865,3.5840664,-25.556236,9.258377,-2.315517
253.08364230631653,-4.823909,-7.6485233,2.5233977,1.821235,1.9179683,2.5343406,-5.2175,-4.5522356,3.585854,-21.367874,8.91066,-1.0181603
255.09915080142363,-4.9461417,-4.8163342,2.4039352,2.006555,1.7096019,2.336995,-4.954392,-4.071128,3.8217869,-15.667818,9.0909395,0.514564
261.07334112304517,-5.0153036,-8.57215,2.7337005,1.7554947,2.1686323,2.8050883,-5.057878,-4.6990824,3.452245,-26.557398,8.864101,-2.9072998
261.10966185035926,-5.0140076,-5.4960804,2.0948052,2.1873624,1.8960838,2.2946274,-5.0737724,-4.6164923,3.870833,-20.842293,9.172026,1.1224604
265.11993582059335,-5.15751,-7.3700986,2.94625,1.6095384,2.0976245,2.8717878,-5.0004654,-4.8355527,3.3405445,-27.53006,9.273142,-3.3407786
267.09922367205917,-4.468994,-5.9221597,2.251747,1.8787508,1.5568916,2.2598248,-4.6601276,-1.7110373,3.7492342,-12.302641,8.833314,0.4753109
267.1355665990693,-4.709308,-7.987512,2.840925,1.9403071,2.0153928,2.6619015,-5.106258,-4.6909566,3.5611203,-24.071192,9.112654,-1.0308069
269.114922695292,-5.0783644,-7.7345037,2.5135412,1.7961745,1.9757606,2.5402448,-5.155497,-4.5453978,3.6379607,-21.385338,8.937873,-0.4655924
274.1705467265059,-5.0522814,-6.0574408,1.6180797,2.4613092,1.7987349,1.649784,-5.162629,-4.716616,3.9453628,-23.791853,9.063655,-2.725732
275.12535495048786,-4.999931,-7.8408566,2.5025826,1.9668171,2.198849,2.8776467,-4.977227,-4.730131,3.6360517,-28.015175,9.1881485,-0.21125889
277.1046854722379,-4.386232,-2.995007,2.3602762,1.7223673,2.0078182,2.2686555,-0.018191833,-0.3940831,3.2413166,-4.1448865,7.7742314,1.0379652
277.1199314280742,-4.996275,-9.3203125,3.0047686,1.817512,2.383159,3.0481343,-5.062886,-4.8055987,2.9197218,-26.741962,8.709574,-2.9697578
279.2543320460134,-5.7857356,-10.999392,2.4208527,3.0647764,0.25507206,2.5560117,-5.778762,-5.636611,3.5641768,-33.49648,9.561617,-4.326326
281.09553527735085,-5.1279335,-9.141422,1.9469732,2.1620295,2.7208278,2.8103902,-5.2381897,-4.663497,3.4721315,-28.676664,8.651004,-2.5615382
281.1149839238734,-5.0938463,-8.979441,3.0126975,1.9823229,2.2304132,3.0374727,-4.831911,-4.699245,3.0145826,-27.700962,9.198105,-3.4434505
283.1305129141175,-3.6136155,-4.1993914,2.2258196,1.78432,1.3893222,2.15135,-3.2067823,-1.4592849,3.6639776,-9.624527,8.580484,0.50211984
293.1149201372592,-5.0605507,-9.116952,2.9035032,1.7213358,2.0532045,2.9754438,-5.1553826,-4.624342,3.3632848,-26.30524,8.92839,-1.8402389
305.1568601303938,0.5528271,3.1420581,-3.4742167,-0.9576959,0.75816214,-3.6873353,1.6795926,1.3537686,2.6095922,3.346562,1.3782666,2.261987
313.2138117541359,-5.132796,-8.668676,2.6828897,1.877327,2.3297567,2.7603877,-5.0301337,-4.8628626,3.3188848,-27.217785,8.739794,-2.780859
317.11518519135484,0.042217646,-0.07486138,1.8802221,1.643455,0.95074683,1.8654777,0.29828227,0.3116473,3.6348865,-4.415779,8.060415,0.41456828
