,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
MGST3,-0.13744944,1.0776418,0.4363968,-0.17812243,0.25080398,-0.12235359,0.04202321,0.123789705,-0.42535758,-0.74384594,0.32363743,-1.2841679,-0.24746262,-0.21558669,0.37838492,-0.042110942,0.2587605,0.28614342,-0.5233979,0.9226858
TMCO1,0.67784154,0.31197459,-1.5012689,0.27860016,0.75147724,0.11590443,-2.7173872,-0.34180313,-0.1936452,0.03755676,-0.66003007,-0.2521008,0.38338602,0.65553135,-0.25892654,-0.48788518,0.16898668,0.00888576,0.18902853,0.79724544
CREG1,0.20129813,-0.02412648,0.8478951,-0.7129466,0.42156288,-0.014912328,-0.6252091,-1.0210577,-0.021760227,-0.062275082,0.5636534,-2.6942117,-0.75835466,-0.35993415,0.34412038,0.72257036,0.6782454,0.016118608,-0.49148473,-0.8978167
MPC2,-0.32251114,1.0252317,-0.8457209,-0.03206715,0.58341634,0.31157336,-2.6974566,-1.4060794,-0.0674625,0.13009202,-1.334681,-0.947484,-0.16430864,-0.120169066,0.055767,0.21266067,0.768625,0.41660014,0.32879406,0.92758805
ATP1B1,0.3150759,1.4367806,0.17213303,-0.2807583,0.23105197,-0.8660092,0.13484176,-0.012724466,-0.63670397,-1.3277574,0.02683781,0.84625864,-1.3940692,-0.6173567,0.25047976,-1.4169735,0.07117415,0.516707,-0.61034805,1.2797837
FMO1,0.06637581,0.06873793,-2.8099759,-0.817973,2.2536883,-0.17790432,-3.3244483,-2.8883657,0.15262915,-1.8643976,-3.24601,-2.1711407,-2.926449,1.9250787,-2.7952738,-2.9295492,-0.077181354,1.1064932,1.3398496,1.1389415
PRDX6,-0.011986144,0.61267895,0.7330411,-0.07647695,0.4276334,0.2390697,-0.4586882,-0.24498339,-0.14267711,-0.2647696,0.11119492,0.89720315,-0.121107236,-1.5173092,-2.130782,0.39144006,0.6141409,0.46852273,-0.054248452,0.5872892
GLUL,-1.5946163,-3.2745652,1.2466097,-0.51729697,-0.93455195,-0.7039055,0.42532757,-1.441455,0.7532921,0.945597,1.2889123,-2.5450056,-0.42972174,-0.7043348,-0.2633282,1.3951148,-1.1572084,-1.5428686,0.4166264,-0.8134182
LAMC1,-0.09598214,0.5893605,-3.13931,0.20076784,-1.6057944,0.7776371,-2.5119708,1.115949,-0.1971512,0.3048923,0.6834804,-3.0299995,1.9120508,-0.10967821,-1.4788395,-2.7824903,0.17187205,-0.23922184,-1.8392582,-2.3378465
ARPC5,0.06501287,0.67915523,0.6797514,-0.09445363,0.09693969,0.1022498,0.1757173,0.010268676,-0.31245807,0.14903755,0.75565547,-1.2662642,1.1950834,-0.36941454,-0.15310955,0.024558341,0.35887566,-0.008469484,-0.3373173,-2.5425024
IVNS1ABP,0.5548142,1.3040777,-1.0092657,-0.15035032,0.328298,-0.22447732,-1.1219404,0.46330407,-0.5293248,-0.42310196,0.52487063,-3.2971625,0.39592656,-0.60150844,-0.0848512,-0.3465817,0.49801704,0.5916648,-0.7683538,0.63445234
RGS1,-3.0970762,-0.043768764,1.2875211,-3.384001,-3.3970919,-3.631924,-3.126784,-1.049286,1.1973222,1.9637649,1.4313005,-2.3416026,-1.1484522,-2.7006264,0.61893207,1.8917232,-2.6046674,-3.0138435,1.2002472,-2.430519
TMEM9,0.57046777,-0.3267036,-2.2289991,0.08022269,0.7430959,0.23088886,-1.2044157,0.47037882,-0.51375306,-0.12004446,0.0061835223,-2.9541616,0.29099655,0.49911636,0.09391163,0.33471382,-0.4889145,0.67503923,-0.8490833,0.29391727
PHLDA3,-1.1670201,-3.2837636,-1.0218505,0.46704906,-0.22509474,0.3795078,1.1934549,-0.06101973,0.020655964,0.3330159,-1.0532079,-0.50825226,1.4429042,-1.8223667,0.3101737,0.47156936,-1.8523617,-0.0680277,-0.04328075,-2.9997852
CSRP1,-0.36735535,-0.70146,1.5753088,-0.8631361,-3.3588986,-0.76244473,1.0313544,0.6757353,-0.49977896,-0.0863288,0.55178034,2.1426325,1.3397808,-2.8862426,-2.0644233,-1.3342744,-2.7960176,-2.9605865,-1.2569038,0.26809824
