,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
52,1.3868749,0.7509936,0.42460203,0.95110977,0.5885864,0.21822768,2.359951,33.21725,1.8900359,0.28028643,0.49966037,29.25404,2.6381407,4.3355026,1.9205239,2.6428707,1.0986036,5.9529796,477.07538,3.6413815,1.1884471,2.1838686,19.179014,0.93772435
53,1.5048239,0.73962736,0.4187724,1.2202969,0.37493938,0.28359368,2.6629705,31.733767,3.7664065,0.30337983,0.35154256,18.565332,2.3574219,1.8518175,1.5148216,1.9921359,1.0150832,4.69628,93.7822,3.1112204,1.3097482,2.1762776,30.179293,1.2257552
55,1.3781317,0.68445116,0.7965046,1.0665321,0.6792228,0.42390287,1.4169886,303.14447,1.3950284,0.5473442,0.42764735,8.61911,2.7411094,1.3351446,0.7382668,1.2933731,0.49163914,1.8133984,1.2899088,2.3420303,0.7593527,2.0924764,1.1985271,1.3874187
56,1.3751744,0.569716,0.55623984,0.8927208,0.605583,0.39674917,1.8021572,284.32693,1.5933511,0.5844948,1.2626594,3.0210564,2.7570858,1.2065458,0.9561473,19.3625,0.5720232,1.0659838,1.5077715,0.8770499,0.6706468,0.7822841,0.842264,1.5212106
57,1.4651738,0.5732206,0.5330626,0.89888775,0.6565386,0.4050087,1.8346865,254.4769,1.6828754,0.6075306,1.5024523,4.396024,2.6045444,1.2439383,0.9561473,19.3625,0.5720232,1.0659838,1.5077715,0.8770499,0.6706468,0.7822841,0.842264,1.5212106
58,0.90400267,0.75793934,0.66412175,1.4994805,0.39849162,0.4039393,2.3070817,38.582638,1.8182702,0.6074583,0.6069995,10.114463,3.5587335,5.021108,4.1438713,1.6374809,0.68364656,0.9567145,3.3074641,1.0620707,0.61864716,0.959811,1.0434428,0.7457311
59,1.6682465,0.58429474,0.58659315,2.034724,0.45357412,0.4130047,1.9028769,71.642166,2.2795148,0.46321464,0.6468712,6.059994,2.949782,1.9954014,1.3187474,1.7674936,0.48937914,0.74177647,17.039173,1.3574786,0.71313065,1.6206902,0.8226585,1.0443898
60,1.586208,0.49849766,0.51548094,2.8227785,0.5370132,0.4331707,1.8077054,52.714302,13.315676,0.53831327,1.5077827,4.8206325,2.5808475,1.2167503,1.3238816,1.7434962,0.5638059,1.171022,19.158022,1.5318193,1.0528923,1.802569,2.014842,1.0265392
61,1.4332242,0.6641734,0.5524119,1.2513833,0.54809064,0.38005877,1.6957359,79.906555,3.2559164,0.4601978,0.6925703,9.956178,2.5659158,1.5433764,1.9225714,1.3384935,0.8090987,2.1304772,27.12149,2.0151393,1.2464787,1.9889174,1.6457767,0.7506032
62,1.2244742,0.55969733,0.5925618,1.1487168,0.4628957,0.3490096,1.7152536,86.724205,3.8185735,0.41505003,0.4582277,14.6760235,2.540349,1.7762572,1.6886661,1.4498115,0.82710874,2.352688,34.952354,1.9517436,1.2315613,2.167187,1.7767452,0.8130434
63,1.4390588,0.7025318,0.53130203,1.0132492,0.5016432,0.34526807,2.1574879,324.74976,1.606629,0.42129514,0.63226175,6.8837256,2.775747,1.7207456,1.0534801,1.9379033,0.8474998,3.512772,94.14612,1.5917785,1.1167213,2.7091596,2.7025623,1.0811136
64,1.4669669,0.6518562,0.50728637,1.0569417,0.48653138,0.33334112,2.3118916,269.30774,1.8194212,0.39676747,0.58665264,7.290286,2.8137434,1.8286864,0.9971852,1.9758137,0.8901354,3.775614,102.31595,1.5453653,1.0964408,2.9367337,2.8375092,1.1822405
65,1.940516,0.7025573,0.41257894,1.9672179,0.4738207,0.2886949,1.9558678,44.44689,3.268664,0.30184293,0.3522553,26.745422,2.4500213,1.6131221,1.0293068,1.9028077,0.9153354,4.404864,107.44223,1.6808841,1.13435,3.214712,3.7164068,1.1528518
66,1.2588507,0.9992322,0.5432663,2.5575147,0.4590596,0.2949002,2.2080512,21.532707,2.869642,0.30235285,0.41269884,21.742401,2.931236,2.862094,1.136602,1.5772356,0.97312415,7.6576366,112.23596,2.1508834,1.3223739,3.5153432,9.111097,0.9650957
67,1.3153347,0.5155967,0.41920233,1.0620308,0.42166477,0.26367134,1.7809058,33.90051,2.4477127,0.29627892,0.48831818,36.964226,2.5639422,2.9578452,1.2135862,1.6727716,0.98218834,7.527129,159.24579,2.2548432,1.3710538,3.3068168,9.220795,0.95804226
68,1.334161,0.75269747,0.42129648,0.91343606,0.45523763,0.25072703,2.0688899,35.301228,2.0954163,0.2949754,0.5374826,35.92646,2.7124023,3.3830948,1.4081626,1.8259654,1.1462562,4.0132523,562.5417,1.8294604,1.5095041,1.871603,3.648872,1.1993562
69,1.3190725,0.8135116,0.41213185,0.87479687,0.480639,0.23062393,2.5980988,35.221294,1.7084365,0.28728908,0.569958,25.236513,2.605516,2.9072113,1.3926167,2.274771,1.2646563,2.7036202,1949.4464,1.8421677,1.4600985,1.4815664,2.2602286,1.7490555
70,1.5219555,0.71270084,0.4076076,1.2202338,0.38679963,0.26850754,2.787066,33.472977,4.470437,0.2954096,0.3762461,16.077484,2.3303638,1.7463483,1.8794221,2.5931125,1.0927049,6.1811705,448.05933,3.7149153,1.1735727,2.311617,20.033703,0.9482774
71,1.0862986,0.65169024,0.7253478,1.121391,0.6124969,0.4196577,1.0955676,400.15637,1.5805016,0.48373967,0.64081585,3.780337,3.0225327,3.1621046,0.7382668,1.2933731,0.49163914,1.8133984,1.2899088,2.3420303,0.7593527,2.0924764,1.1985271,1.3874187
72,1.2125311,0.7945621,0.7768514,1.1516457,0.63987756,0.46776825,1.1346707,388.63446,1.3198401,0.51530087,0.63665456,3.208369,3.186666,1.7563927,0.7382668,1.2933731,0.49163914,1.8133984,1.2899088,2.3420303,0.7593527,2.0924764,1.1985271,1.3874187
73,1.1545169,0.66658497,0.79154694,0.8829998,0.65644956,0.41191584,1.8679153,339.57986,1.5063002,0.56899816,0.41128102,5.765656,2.7961779,1.4882433,0.7382668,1.2933731,0.49163914,1.8133984,1.2899088,2.3420303,0.7593527,2.0924764,1.1985271,1.3874187
74,1.1731567,1.131975,0.5373571,2.971384,0.459404,0.44700253,2.0916598,1.4326918,10.003252,0.47157368,1.238549,7.5030165,2.6551461,2.0583882,2.180857,1.5840474,1.5613393,3.2260122,0.81288767,0.7306218,0.6082912,1.8114688,1.1279708,0.51774985
75,0.94449157,0.65432525,0.6668063,2.4506886,0.3715561,0.40235665,2.8470612,3.3071373,3.370351,0.6106198,1.3182762,13.303777,3.404694,3.4269361,7.1053967,2.6566098,0.65100676,0.45995164,0.80489236,0.4972215,0.41913602,0.4663795,0.5608388,0.73273015
76,1.2331982,0.86907816,0.7437724,1.8250241,0.40532687,0.40733758,1.9289982,23.91014,1.5601176,0.5393844,0.93417215,5.512968,4.728377,6.217484,2.5192146,1.2806491,0.65563995,0.91766316,2.4376607,1.0201706,0.75509465,0.9381453,1.0284317,0.62567306
77,1.0057954,0.577647,0.48002315,1.9634023,0.55586964,0.38948968,1.5079384,33.82528,2.399488,0.49633908,0.47405958,23.553673,2.709872,1.8832198,4.863732,1.444073,0.782894,1.2031024,3.5912566,1.1852748,0.71354276,1.0085098,1.2169096,0.6801445
78,1.1546297,0.821681,0.5160189,1.0330443,0.416641,0.29274553,1.5441482,37.503784,2.0699203,0.37344843,0.49598786,28.48851,2.7354662,2.4175866,5.135025,0.9857796,1.1817884,3.4156592,9.446946,2.3518817,1.0897708,1.2940913,4.1779537,0.6078042
79,1.3106728,0.69654596,0.5534345,1.1531403,0.5408821,0.29773703,1.2160916,35.34533,2.3981667,0.41743052,0.55295885,19.330475,2.755359,1.9292479,4.696814,0.96227306,1.2779441,3.7683861,12.729673,2.6681716,1.3131415,1.3213187,3.9940646,0.5586483
80,1.5441308,0.8081945,0.49547452,1.1015587,0.5070484,0.32335964,2.2460163,106.592255,2.4069345,0.39092225,0.50776964,19.611376,2.5478969,1.7477683,1.1464043,1.8482175,0.8400822,3.064798,71.50949,1.6172938,1.0815642,2.5457017,2.55313,1.0407917
81,1.2129357,0.6723126,0.5129298,0.90471005,0.42361087,0.3076973,2.054205,81.7041,1.7901356,0.36678177,0.5062927,35.525227,2.6085749,2.68693,1.0480794,1.9486111,0.8742048,3.8066027,104.79476,1.5749127,1.1156744,2.772298,2.8404105,1.0941617
82,1.6684451,0.68498397,0.43672556,1.2342589,0.46960667,0.275443,2.612565,44.056126,5.689152,0.3274861,0.40879744,14.114112,2.666117,1.5351664,1.0059717,1.8816292,0.9422551,4.4036007,102.78098,1.508379,1.1920729,2.9171255,3.0979047,1.1406349
83,1.7666868,0.45490128,0.391353,2.7291248,0.5614977,0.49724227,1.889212,36.093754,1.7163305,0.3557328,0.5010599,29.762777,2.3501456,1.8737388,1.0464898,1.8447089,0.9156935,4.5224433,103.40238,1.6186482,1.1742783,3.1435688,3.6443675,1.0975754
