,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
54,0.5882561,1.3661693,0.45187864,0.40364438,0.25528884,0.5599139,2.211052,1.9480904,23.576813,3.3512123,2.0664437,0.4340638,2.887822,12.498558,0.5299016,0.6957121,0.32326457,0.24302712,1.5044852,1.5357901,0.3099128,0.51922196,0.8072674,1.2657378,1.0519849
55,1.2785172,1.2252033,0.34402806,0.3402936,0.16483128,0.43350214,3.0926309,1.8976817,8.8249,5.3978243,2.331305,0.431254,2.6052847,13.040715,0.42634434,0.6815754,0.5028412,0.23669697,6.471322,1.5815738,0.4183929,0.99531615,0.8356339,4.4612155,0.8784008
56,1.6846434,2.5985813,0.35099757,0.4034548,0.17049257,0.43684733,2.1481414,2.2200828,5.16333,3.422163,2.2319322,0.49323806,5.8874216,9.846827,0.56493723,0.8604059,0.584823,0.263125,6.36071,1.3863373,0.6184277,1.2290965,0.8485244,4.300272,0.82688355
57,1.0526885,2.6980662,0.40015927,0.38175648,0.2094889,0.46949887,2.1474426,2.2105563,3.3130856,3.554955,2.0099733,0.4841189,6.8463764,24.810654,0.66589576,0.5653815,0.74455214,0.32213813,3.5373554,1.2841288,0.5801385,0.9320571,0.85048157,8.069372,0.99044096
58,1.1757743,11.502332,0.6744519,0.38944417,0.39671916,1.0644002,1.0823376,2.5082414,1.7186108,2.1408424,2.1520796,0.48582166,8.010668,14.508014,0.7418136,0.5629574,0.76214474,0.56673944,1.3474965,0.7233121,0.7871565,1.0698013,0.75506413,1.9718366,0.7548864
59,1.205387,9.17157,0.6772779,0.41956347,0.37530398,0.99401563,1.200886,3.2060888,1.644621,2.6596975,2.6621757,0.39696607,17.086245,2.8146489,0.52863103,0.5698962,0.7012634,0.8303061,1.1335635,0.76750773,0.57586074,0.8343975,0.77351326,1.4547263,0.6878237
60,1.2110801,6.7411623,0.87894964,0.41786104,0.38721216,1.1482661,1.0877607,3.4821687,2.5812635,1.1065364,2.2286367,0.46426645,7.1257052,7.197062,0.77277106,0.56037045,1.8248805,0.7989506,0.5314304,1.0464255,2.3431652,1.6608125,1.0830146,1.5437638,0.68877184
61,0.6656978,1.8347389,0.5758985,0.40745553,0.24989659,0.52413434,3.2375824,3.0292523,15.098654,1.5286314,2.075625,0.48311156,1.689908,22.963675,0.51176566,0.8303004,0.6349678,0.51465493,1.073818,0.90950274,0.5708876,0.7428338,1.0777943,0.82454073,1.3704224
62,0.5821315,1.1732042,0.64678884,0.4230724,0.29877764,0.6430409,2.2979693,2.3563735,34.86966,1.3737047,1.8527844,0.45215276,2.028661,26.408665,0.50747174,0.84837013,0.51073277,0.4026855,1.1850268,1.2662833,0.48459852,0.562988,0.9918231,0.793814,1.1089575
63,0.5843452,1.406444,0.7105951,0.39652163,0.3241248,0.74119693,1.8651757,3.1886506,30.31238,1.6040933,1.8493927,0.36042848,2.612592,4.43149,0.40839362,0.797112,0.7996928,0.6335699,1.3453792,0.9462539,0.8618008,1.3793073,1.2702676,0.8571077,1.1702567
