,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
GNB1,0.21154211,-0.20171802,-0.5109231,-0.24687308,0.17490818,-0.11081599,0.7418952,-0.0496906,-0.4228262,0.7555931,0.08256868,0.55664945,0.53783524,-1.3858358,-0.011856778,0.18203036,0.23006128,-0.52552027,0.39312387
FAAP20,0.21923503,-1.28437,0.09101385,0.8586091,1.0624225,-0.4397125,-1.0133139,0.651105,-2.8126602,-2.7190573,1.0253913,-0.16072023,-0.37382823,0.50919145,0.5463163,0.33266845,-2.4662187,-0.11953559,-2.258284
RER1,-0.57876563,0.46006197,-0.38884923,0.10624514,-0.047056396,-0.3382364,-0.035026547,0.29895622,0.19673799,-0.124697275,-0.43557438,-1.6696986,-1.2014475,0.83845973,0.1746166,0.2919027,0.009457111,0.8451728,-0.80765605
TNFRSF14,-0.5353583,0.5068967,-0.71635324,-0.071845986,0.10532038,0.065895736,1.1069839,-0.36185086,0.38567078,-0.29556942,0.31536114,-0.29676697,-1.7531192,0.51886725,-0.310014,0.056588177,0.34860778,0.7461181,0.16073748
CAMTA1,-0.01462948,-0.63518816,0.013955518,0.6697457,1.1680659,-0.5926082,-2.8656545,0.6173526,-2.585966,-0.23415612,0.39942664,-0.10358967,-2.6008713,-2.3777196,0.31280312,0.37980977,-1.9971513,-2.694113,1.1419758
VAMP3,-0.7726926,0.10084119,-0.103992656,0.5762142,0.46022367,-0.21569566,-2.0537179,0.33040825,-1.1312033,0.71499544,0.55829346,-0.071344174,0.5758769,-2.638346,-0.5709931,0.027592074,-2.5671213,0.3861708,0.046883665
PARK7,-0.049762655,0.4958457,-0.44706345,0.10243858,-0.05274805,0.13702367,0.025287746,0.19926742,-1.3819337,-0.3206859,-0.42255086,0.80047137,-0.17764892,0.49874339,-0.0006933548,0.45039415,-2.456816,0.3878671,-0.10027762
ERRFI1,-0.069011346,-0.056598596,-1.0342218,-1.0375677,-0.04625759,-0.17371167,0.8490005,-0.08723969,0.13821079,1.3327328,-0.44616106,-0.9610159,0.5810956,-0.1739726,-0.3241383,0.0959181,1.2138493,0.4984978,0.40319636
RERE,-0.10365938,-0.3934993,-0.25696805,0.5529884,1.0926126,0.25937992,-0.46348432,-0.33927578,0.62359273,-3.0874112,0.5936022,0.7286696,-2.517578,-0.552636,0.4399875,-0.3222614,-2.1913357,-2.424775,-1.5438392
SLC2A5,-2.0354414,1.1271977,0.027307568,0.26049042,0.5999793,-0.06701852,0.708245,-0.9182719,-3.052288,-0.5196558,1.1255891,-1.290526,-0.4394283,0.84359354,-0.004856482,-2.540426,-1.3238479,0.17921951,-1.4554877
CLSTN1,-0.11468107,0.5979728,-0.39870873,-0.00716597,0.0029278537,-0.012906064,-1.4174632,-0.048236616,0.60072637,-0.04399996,0.089847535,0.28680867,-0.006863125,-0.97722673,-0.023039551,0.07187334,0.352226,-0.07542593,-0.5091
RBP7,0.51729643,-0.032493852,-0.47076938,0.25480655,0.07553907,-1.5088574,-0.41173694,0.33540812,-2.152504,1.0680404,0.312591,-1.5160545,0.3938618,-0.52782845,0.62609005,0.7996878,-1.9160621,-1.0358199,0.51919204
PLOD1,0.71935314,0.34230575,-0.36204717,0.2626433,-0.24917951,0.30617103,-0.6744115,-0.17269887,0.33663547,-3.086868,0.39125553,-1.3637148,-1.0183605,0.084403396,0.049886346,0.92204034,-2.5325015,0.023137474,-1.6039075
DHRS3,-1.8008602,0.8257151,0.18924455,0.50356054,0.54811263,0.46674892,-2.0648084,0.082503654,-2.668891,-0.19330032,0.771458,0.19187485,-0.92265725,-2.7885249,0.44008106,-1.2147847,-2.747362,-0.06326641,0.86527777
SZRD1,0.5322732,0.3703682,-0.39451787,0.33877477,0.4817481,-0.68479586,-1.1256249,0.26166508,0.3281316,-2.6100144,0.63025546,-0.71258825,-2.836515,-1.5333292,0.5682034,0.53870255,-2.5503666,0.7637328,-2.5652544
SDHB,0.23431428,-2.7482483,0.43624666,0.8852435,1.2095734,0.7494342,-2.530401,0.043791633,-2.7078326,-2.6806257,-0.1344923,0.9547926,-1.9065741,-1.3720028,0.71096724,0.42502958,-2.294008,-2.5964198,-0.25919724
AKR7A2,-0.22629347,-1.8417331,0.16937642,0.90253735,1.1123596,-0.312713,-0.8513033,0.57773405,-1.5231522,-2.8135219,-0.957172,0.459664,-2.522899,0.0124466345,1.0156431,0.09561773,-1.4946703,0.560906,-2.4340672
CAPZB,0.7400753,-0.24795662,-0.21672127,0.18678293,0.40108192,0.07461528,-2.4510655,0.39995483,-2.1006577,-0.08327606,0.13412134,-0.11094746,0.6913214,-0.22686952,0.36930954,0.73043835,-1.7309252,-1.9119444,-0.032375608
