,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 9,ATAC private topic 10
661.6680914675109,-4.3709865,-0.057571016,0.63891107,-4.158646,-3.6841152,1.0827439,1.3033994,2.756238,-0.8163099,1.0600661,-12.259815,-3.9641333,-3.3738701,2.0145555,-2.0881212,-3.5425622
662.0016556758274,-4.1771574,0.13775803,0.54717445,-3.8845887,-3.7206416,1.1434022,0.2670546,2.8467581,-1.2444988,0.66233426,-11.197204,-3.3295138,-3.2930684,1.7645857,-3.1673536,-3.7780972
664.8366094006194,-0.18260007,0.016898504,-0.25701615,-3.8043783,1.7550695,0.40167937,1.0261292,1.5298184,0.39611584,0.1394271,-9.348998,1.3835168,1.0199684,0.89234865,2.1043081,1.7110423
665.3361093271064,-1.7908087,0.29984722,0.020190742,-4.392821,1.6784816,0.6333006,1.2071202,1.8759074,0.60184073,0.3347834,-12.65345,0.7559955,1.1522812,1.0463109,2.399476,1.1785755
665.8375133345984,-4.2022347,0.5223316,0.18864316,-4.5818267,-0.25549537,1.0409226,1.3970461,2.3748379,0.5953319,0.48658517,-13.113203,-3.3175025,0.76035357,1.4966356,2.0380452,-3.2865796
666.3378653010126,-4.1658792,0.09378037,0.37733224,-3.5816653,-3.519309,1.3735678,1.057543,2.6635206,0.16029206,0.69269574,-9.1101675,-3.183557,-3.1046424,1.2859637,-1.7265772,-3.2642772
670.6842149008764,-4.506632,0.4874448,0.11889516,-4.3630285,-3.7580855,1.2076263,1.5101775,2.4592302,0.6498529,0.8823516,-12.816689,-3.5927513,0.52939045,1.9446626,0.579575,-3.7524016
671.0184734885361,-4.407614,0.112796284,0.325642,-4.3747444,-3.884628,1.2545315,1.6632078,2.5053463,0.7108836,0.96079355,-12.277562,-3.6115928,0.5186646,1.9962504,0.6058515,-3.98197
671.3518386047365,-4.2159557,0.1427021,-0.09209357,-3.9856427,-3.930522,1.351686,1.0629363,2.6991994,0.029780814,0.9056452,-11.812477,-3.7806308,-1.2421265,2.1324844,-2.5862486,-3.8167548
671.686369461285,-3.7248406,0.041950498,0.39307967,-3.9135354,-3.5066729,0.9498024,1.1664469,2.5592062,0.69588065,0.94329774,-10.625933,-3.1672752,-2.816114,2.4119937,-2.4734364,-3.118053
676.0087263541498,-4.2053094,-0.06770163,0.696999,-3.844588,-3.8269682,1.1136972,0.63767004,2.782627,-1.8104162,1.197576,-10.977457,-3.2496636,-3.1055486,2.0258515,-2.50306,-3.6465728
676.3440946859712,-4.0493684,0.26243818,0.21119651,-3.7527955,-3.7101762,1.2802292,0.3801995,2.7050362,-0.7242786,0.6840194,-10.7398615,-3.3580148,-0.3642704,2.1784182,-2.8423162,-3.4021149
676.6770209830461,-3.7575924,-0.5431704,0.88407665,-3.5126386,-3.229035,1.1357542,-0.3173838,3.019903,-1.7651577,0.65399295,-8.815537,-3.2299488,-2.2910993,2.1412377,-2.583904,-3.4086568
685.3596181849049,-4.4638534,0.24748968,0.508913,-4.275867,-4.006478,1.1801851,1.5552268,2.5183406,0.19881025,0.88913816,-12.202363,-3.4495082,-2.4074092,2.2130907,-2.5788898,-3.8419259
685.6938257835305,-4.3557243,0.091421306,-0.07209268,-4.1702013,-4.0838666,1.008719,1.2263194,2.5808518,0.70405877,1.052226,-11.56204,-3.7676187,-0.35816714,2.1923764,-3.2781706,-3.8415298
686.0279313931892,-3.5739007,-0.8274551,-0.6936446,-4.179829,-3.7407398,1.0297741,1.6141592,2.7650034,0.66991234,1.1230124,-11.534291,-3.150116,-2.4604805,2.6077125,-3.315907,-3.6299257
686.8496251342218,-0.4732036,0.056851152,-0.23207548,-1.8371826,1.8452702,0.3915484,1.0123929,1.4963896,0.44183385,0.14743678,-8.282426,1.4835981,0.980499,0.88975453,2.0102713,1.6340537
687.3504403753851,-2.7943082,0.30861148,0.0042888667,-4.6486154,1.7118117,0.64651245,1.2248985,1.7792424,0.57429636,0.33559382,-14.042887,0.9609045,1.0909151,1.0262817,2.3838525,1.1522009
687.8507106093722,-3.7402835,0.2934742,0.17933168,-4.402662,0.9008881,0.97338015,1.280927,2.2720146,0.4821974,0.505044,-12.13308,-2.7267447,0.90339386,1.4134257,2.2442682,-3.3940766
688.3515765378075,-4.2594504,0.059906777,0.7732246,-3.979612,-3.8889813,1.3428079,0.74443835,2.7878418,-0.8104587,0.72428256,-11.450173,-3.7599719,-3.6282003,1.9824064,-2.4694633,-3.7870696
