,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7,Protein private topic 2,Protein private topic 4
65_22,3.5512304,10.924544,0.57527995,1.0645511,1.7341648,5.670046,1.0371448,0.9166492,4.3705554,4.694029,1.1839691
74_10,6.9816527,3.8934517,0.9578365,5.2501283,1.2921271,11.184441,1.5620064,93.51686,0.83638126,9.214476,1.167295
117_47,2.6192331,67.04969,0.5700055,0.5980259,1.9354756,2.485186,0.78699535,0.6816927,0.82716435,2.0970426,2.1132495
86_24,6.9381523,4.72982,0.8298106,7.655956,1.5864325,7.446786,1.9107543,1.4063389,8.012304,4.093978,0.5970203
91_33,18.488739,3.2758498,1.067665,2.8263469,0.84935254,18.659584,1.7276502,8.977637,0.99142647,8.620082,0.6519279
54_37,2.8210735,11.30386,0.77617365,1.8706362,2.4922304,3.6213002,0.9369575,0.9194818,1.4779547,3.2426972,4.236572
80_0,3.5060387,7.8477044,2.5949366,3.2944174,1.3281075,4.985002,15.269848,7.5589175,0.8774289,27.203156,1.9165888
83_49,16.20095,2.4478614,1.4280975,1.0014815,0.7537432,16.04248,1.5432031,11.105422,0.6375332,5.9654455,0.93722314
92_23,2.6671,23.03114,0.5133276,0.70635104,23.4873,1.2565742,0.635125,0.3528143,0.5995319,2.350507,1.5762647
120_52,4.758534,6.7705994,0.9719622,1.2734095,0.6701936,24.158863,1.044479,2.5769904,0.8997215,3.7946439,1.1553547
31_51,17.5153,2.6471543,1.836766,1.0600723,0.65403014,39.177307,2.2741427,2.3124683,2.7324195,5.2591457,0.63155556
47_35,8.261894,4.406804,1.4994138,1.2634009,1.7660894,5.9095383,1.2076675,0.8511162,3.411892,2.886317,0.7850896
122_47,29.213146,2.9838884,3.6906748,0.6906805,0.5209407,4.615749,1.2372849,1.0637991,1.4405279,6.0906987,0.7704091
68_25,2.715419,19.053394,0.7078152,0.71894425,420.84155,1.9578184,1.9952153,0.8052854,1.318966,4.7262816,2.0153785
62_38,14.603123,3.2048433,1.5698663,1.259512,1.2464187,5.7587814,21.248657,1.1004305,1.9703293,4.2987494,0.57602483
64_24,3.2462585,13.148659,0.8276632,4.0465336,2.4051282,3.3278074,0.85460293,1.5688026,2.062947,4.6057463,1.6186731
22_44,2.0593143,33.8414,0.47013724,0.6853132,2.534834,1.8258905,0.7260584,0.6614256,0.7106968,4.8002872,2.6999032
54_23,5.5271873,4.3061037,0.88188815,23.076283,1.0172913,14.570352,1.6317067,2.736698,1.6147013,4.3281355,1.524053
53_35,5.85768,6.650629,1.023637,0.8467271,4.1917725,5.3263426,1.7886764,0.80863506,11.188303,3.0328474,0.6894813
89_16,2.181534,38.413654,0.48138452,0.522805,4.6099076,1.6396344,0.6540214,0.43848443,0.7383293,2.323687,2.903623
108_36,2.6919193,93.8133,0.58920157,0.5546607,2.5295582,1.9670733,0.7273991,0.5604357,0.7242647,2.2207348,3.199681
109_48,13.036281,3.5948794,1.0013144,0.9394142,0.8350183,45.284576,1.2273448,4.238395,1.0085773,4.420297,0.57060367
67_35,2.2794008,36.31388,0.46368358,0.66674113,1.8638058,1.6352795,0.5963613,0.41645527,0.7468145,4.726383,2.0153809
70_35,2.7373652,52.519596,0.57570934,0.5991346,1.5131032,1.7706828,0.92555124,0.7320599,0.9270702,2.059285,4.1884394
82_19,2.4455414,44.92073,0.5649527,0.62508196,2.7163773,1.5729611,0.5778945,0.47353727,0.6879589,2.1750903,2.0018754
79_38,2.2768517,36.740253,0.4572328,0.60221016,2.6823018,1.4590359,0.58425546,0.41799536,0.836145,2.2923608,2.224844
121_49,10.710907,3.1662545,4.4833465,0.8138408,0.762031,17.685724,0.8144569,1.4096175,1.2748134,2.960108,0.83505946
100_48,33.769592,2.6875288,1.0968857,0.7129588,0.6933611,28.513905,1.1749588,3.387875,0.94647586,6.873969,1.2185316
115_50,7.086956,4.579032,1.3001027,8.113819,1.4787472,5.1490545,2.691009,1.0427108,4.5069323,10.383264,1.0123713
116_39,27.137241,2.6559067,1.5146791,0.8537204,0.8376849,13.832699,1.3206308,1.1559466,0.7885947,5.2742305,0.92542773
73_30,2.1890707,36.115654,0.51040715,0.6462983,4.5256405,1.5885124,0.6501484,0.39342666,0.7735106,3.8818393,1.9222674
46_39,2.3919888,29.530638,0.54093665,0.7038313,22.708052,1.6090819,0.81771857,0.41591233,1.0793625,3.1719441,8.907418
85_12,7.900634,4.046071,1.0319502,10.01266,1.4292456,8.618372,1.5905489,3.5489578,3.2913105,21.932568,1.0501999
65_37,5.878903,4.505725,1.5105915,7.8408337,2.8276193,4.9257255,1.2409507,1.0878278,1.3791586,2.8420558,3.2926943
88_35,21.798105,2.8908153,1.317143,0.9978267,0.6005526,14.829774,1.1159735,2.1437802,0.8905887,5.589388,0.61004317
90_13,8.718744,6.151375,0.9441195,1.7335999,3.1702335,4.292778,1.3244308,1.1145692,12.352116,3.3763785,0.6304088
120_50,10.924392,3.4883034,1.1162986,1.9118403,1.0457108,13.09934,1.5375035,2.6366408,1.2419715,4.8878765,0.66132677
119_43,52.868275,2.1542518,1.5162692,0.50330085,0.51386005,5.716941,0.9956303,0.7127426,0.59414846,3.1642227,0.6422593
109_28,47.575993,2.2226844,1.377744,0.60454774,0.54192495,5.351394,1.007029,0.9902182,0.67061466,4.5593762,0.6185507
88_5,15.815388,2.723843,3.9732306,1.0207094,0.6315298,10.474286,2.302677,2.7445035,0.6192848,4.6838784,1.3199385
35_30,8.948813,5.6111355,1.1597266,0.6421872,0.6338645,25.1515,1.6652921,1.1643429,1.3738632,2.3830366,0.789206
68_21,8.374904,6.086893,0.88389915,2.1853142,1.1918204,5.5411677,2.651747,0.9420271,44.940495,7.269881,0.7706953
74_33,2.9670882,11.550046,1.8036878,1.0607336,3.1186795,2.3044078,1.0356882,0.7324553,2.0620058,5.2611094,0.6947575
28_40,6.7031937,4.0621576,1.7468379,4.8011856,2.4364161,6.7577543,2.4467893,0.7107719,155.96849,16.66146,0.88074684
35_49,7.486745,3.2396903,2.1304815,2.5319762,1.3995682,6.6131887,4.4365764,1.7760285,12.977566,6.3134813,1.5125468
38_51,41.38217,2.8902202,2.4765606,0.6155648,0.6516946,4.0349,1.0605279,0.4961393,0.9750365,4.27649,0.7422851
59_17,7.245456,3.4449518,1.1738675,2.8284883,1.1789176,10.512264,1.9909209,55.81344,1.1234595,6.5019054,0.8831278
79_41,2.466745,51.35089,0.5717685,0.6120709,3.4306948,1.8477015,0.59458745,0.5645067,0.68899316,2.6562328,2.4420693
69_42,5.925687,5.230856,1.7127786,4.452647,2.7780972,5.3795605,2.12025,1.1100222,68.42479,11.735386,1.631187
18_37,3.7723804,4.7827363,45.783237,0.8677635,1.694401,3.4131145,1818.5018,0.7649639,2.175337,101.48062,1.6662073
99_22,2.2683725,51.757607,0.46306726,0.49501318,3.0522625,1.8493539,0.6255638,0.55441105,0.68420774,2.8624797,2.5096354
84_13,9.458799,4.1518207,0.9482004,10.90719,1.3679972,12.500708,1.8533913,4.2106457,4.4085,9.067718,0.8150178
31_38,26.094213,2.8773677,2.5801103,1.1418154,0.76592547,10.546947,6.6810126,3.2573435,1.4817837,8.554499,0.8771754
94_49,38.47866,2.5293508,1.0537498,0.86962116,0.7650539,20.406315,1.2606038,2.7271304,0.98032475,2.9963286,0.73367965
123_50,9.189154,3.0545058,9.130285,0.98454905,0.7190203,15.088149,1.4585286,3.3115175,0.8275222,6.10873,0.74428064
