,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
75,1.7496909,1.168958,0.27736843,16.0027,1.0774045,3.357479,1.7137457,0.90412086,63.854137,1.2284867,2.133584,1.0536258,12.555275,0.8790194,1.2598931,0.4144602,1.2114103,0.560368,0.37215388
76,1.5388305,0.8170328,0.24907412,11.976044,0.9717706,6.7787533,2.5061703,0.87937534,66.384964,1.2701329,0.97510445,1.4280032,726.247,1.3348005,1.8016388,0.78149515,1.9359157,0.76356155,0.7081568
77,1.5062381,0.86749136,0.2320571,9.793424,1.1616113,5.492586,2.5597575,0.8216119,62.14967,1.1645544,1.0639482,1.3700016,727.0193,1.4635037,1.2321739,0.84987694,2.0408897,0.7403195,0.80237556
78,1.5166334,0.8246999,0.22881599,10.273665,1.0436966,8.901253,2.5614543,0.79670346,53.121773,1.286968,1.0226518,1.3840578,653.159,1.3665726,1.0849571,0.8642581,1.9957199,0.7831286,0.77557325
79,1.8307307,1.0190603,0.27235654,9.1027,1.1139711,2.8245368,0.8584255,0.74561346,51.20574,1.2677423,0.6087927,1.0715694,11.752748,1.1747727,0.9494278,0.8175435,2.960492,0.866516,3.5521944
80,1.4137866,0.884891,0.2105129,6.072762,1.0251608,2.7610557,4.4338646,0.69407165,45.397175,1.1931838,0.5548881,1.4935337,1.9381251,41.80799,0.599367,0.8066765,1.3919106,0.9147547,0.44530725
81,1.5702212,1.0123252,0.20257568,7.9997234,1.6525106,7.8219833,2.0517392,0.68127114,34.38297,1.245959,0.667542,1.683472,1.9034411,78.22196,0.689712,0.8020204,1.3993372,0.7897722,0.5415648
82,1.5936,0.93793094,0.24520242,8.70223,1.0583704,3.263176,1.5619038,0.83794695,66.23795,1.4674679,0.79194343,1.7928734,1.4547224,105.79975,0.7825536,0.73432326,1.5188015,0.7328502,0.6109278
83,1.5110404,0.7285074,0.2678309,10.138184,0.8752557,2.2799487,3.9788814,0.8739373,87.60482,1.6171342,0.72350633,1.940482,1.703488,91.20717,0.83606875,0.63386154,1.3131914,0.74572545,0.5015774
84,7.356391,0.47091335,0.86277413,1.9593971,0.7719089,0.63252187,0.87231314,1.7623509,8.449929,1.4042522,0.794071,0.6193512,0.727332,0.7253412,10.087756,0.42045274,26.819706,0.70893455,0.6035716
85,12.475103,0.49673265,0.9186398,1.3767581,0.8849197,0.59143186,0.7046553,2.0081491,5.423795,2.3339932,0.6887822,0.5825482,0.6846477,0.61810905,3.4025862,0.6517774,28.866657,0.47440845,1.1988064
86,17.274849,0.6292181,0.9438799,0.8794249,0.6508372,0.5846421,0.622175,2.2419095,2.5568738,2.800203,0.68100333,0.59100455,0.71227634,0.6220356,4.7411413,0.6183551,24.63866,0.4081144,1.1395178
87,16.01259,0.76509756,0.87964857,0.7007171,0.6072025,0.59393,1.3188231,2.6449986,2.2194312,2.3817139,0.702273,0.56435037,0.7321209,0.6353708,7.3216267,0.59494656,38.406864,0.3743996,1.008149
88,16.766747,0.87513995,1.05787,0.65321195,0.5874798,0.59463763,0.84929127,2.8474827,2.0801182,2.4173203,0.6683421,0.55312485,0.68394613,0.60755324,7.2292123,0.6024834,37.408623,0.3656827,1.2039313
89,18.155664,0.8499392,1.1287454,0.7919361,0.62231594,0.6143737,0.53932697,2.9897978,1.9128373,1.7817891,0.644033,0.5621645,0.72966385,0.6188764,8.874766,0.5620506,32.27444,0.32901338,1.0991042
90,10.834108,0.98934853,0.86419696,1.2499801,0.76422787,0.63013035,0.6834839,1.508892,3.02963,4.5498486,0.5626422,0.55230093,0.6138456,0.5912684,4.0249424,0.69679093,21.33267,0.28379628,2.096325
91,8.953828,1.7565813,0.4822036,2.120551,0.7775538,0.5724689,0.8024378,1.1297665,5.3742847,5.42433,0.6881115,0.53376245,0.67849565,0.5916935,2.9039161,0.7254673,17.963663,0.4139692,2.5452065
