,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Gspt1,0.330013,0.14982553,-0.270339,-0.38363433,-0.30294165,0.45823765,-0.032052245,-0.026834225,0.04373585,0.008788052,-0.15402527,0.0611707,-0.020726169,0.06779676,-0.6699953,0.26510596,-0.22478229,0.3188796,0.5109142
Ercc4,-0.0823875,-0.6114573,0.04513367,-0.10910084,0.18236291,-0.30803803,0.00805118,-0.006244239,-0.03630993,0.016421748,0.017749896,0.00497506,-0.08088221,-0.0073359907,0.08820073,-0.008324374,-0.09913616,-0.20780583,-0.4456165
Mkl2,-0.046544936,-0.10465891,0.06950328,-0.26555988,0.68674606,-1.2869948,-0.24500772,0.05236488,0.21286106,0.19498083,0.40766278,0.36853468,-0.06433243,-0.47021243,-0.45486477,0.18233015,-0.04682501,-0.77973807,-0.22895564
Parn,-0.030248372,0.022194542,-0.06936552,0.1451742,0.14614531,-0.31596,-0.020246278,0.0053778193,-0.008003231,-0.0026756327,0.042478595,0.023527622,-0.14512588,0.016797615,0.10178317,0.059985053,0.035905223,-0.7193179,-0.9226278
Ntan1,-0.049670067,0.07251123,-0.004461559,0.00020056948,0.047777716,0.2769135,-0.007314304,-0.0198352,-0.013824728,-0.034172334,-0.030246794,-0.00094680506,0.029092459,-0.01851293,0.01217374,0.0046987566,-0.047091488,0.059137642,-0.060747497
Pdxdc1,-0.23738654,0.022792371,-0.0033152641,0.11448249,-0.13405877,0.2742552,-0.0050039715,-0.009124193,0.009146938,0.0019231333,-0.077763,-0.020544516,0.008711586,0.020456085,0.09210205,0.024403183,-0.005984026,0.09124698,-0.52181363
X2900011O08Rik,0.50101334,0.4827467,0.38429612,-0.8436038,-0.74070996,-0.75195515,0.32959723,0.026022386,-0.19935535,-0.53254586,0.6946594,-0.58593327,0.11904499,0.6128689,-1.2655154,0.16350123,-0.03245269,-0.44519618,0.08547423
Abcc1,-0.24638678,-0.850862,-0.04329341,-0.34127554,0.14230932,0.44408798,0.0061994153,-0.024404388,0.14175284,-0.050323714,-0.2333361,0.2257477,0.13790104,-0.15010591,0.020912388,0.04931674,0.18613018,0.21475548,-0.8597604
Top3b,-0.37575942,-0.21358435,-0.000455648,0.016849086,0.14159404,-0.46187213,0.026003273,0.036356837,-0.010504316,-0.02124231,-0.09253255,-0.1010467,0.11566013,-0.14681458,-0.012224264,-0.02726291,0.06241823,-0.6895513,-1.1422144
Ypel1,0.10653318,0.061361153,0.013273826,-0.26184392,-0.61784816,-0.25882792,0.17052074,0.41113266,-0.5598602,-0.054199003,0.23252618,-0.04005821,-0.32721117,-1.0400004,0.7812683,-0.08534162,-0.28885627,-1.3981005,-0.4667046
Snap29,0.21340166,-0.4950596,0.04498422,-0.13023083,-0.36071712,0.7265607,0.04553639,0.007646073,-0.7177781,0.05485443,0.0065600215,-0.19094996,-0.41940445,-0.1495784,-0.27761397,-0.30535713,-0.35787648,0.35089424,0.33944142
Lztr1,-0.20661052,-0.86311126,0.2944769,0.041791327,-0.12059521,-0.053432778,0.031221269,0.037846867,-0.37575504,0.027835533,0.23472147,-0.19730459,-0.013058114,-0.012556079,-0.09919748,-0.31793132,0.004011148,0.14707309,0.09848364
Ranbp1,0.0025049492,-0.024473524,0.009391696,-0.15506092,-0.18820347,0.060906366,0.011475405,0.014184857,-0.047738113,-0.47499245,-0.012135806,-0.014577435,0.16236527,0.011792183,0.0028317764,-0.012243258,0.06261578,-0.28031012,-0.16181274
Ufd1l,0.017345347,-1.1908829,0.026905956,-0.15607667,0.0139554255,0.28657624,-0.012479581,0.0038161566,0.046966285,0.003965069,0.021847088,-0.03900912,-0.030730356,-0.0698293,0.062611714,-0.02914619,-0.0014208738,-0.15331447,-0.41529024
Eif2b5,-0.08037823,-0.64545274,0.0043266844,-0.6074783,0.1128702,-0.13769957,0.004598383,-0.0028855863,0.09354279,-0.0103913965,-0.07629644,-0.020492697,0.036862098,-0.108864464,0.0065704565,0.04245684,-0.022906201,-0.0211046,-0.03032813
Psmd2,0.0031268562,-0.14369832,0.06538699,-0.017742606,-0.01247245,-0.007337359,0.0018807964,-0.0041452195,-0.008770883,0.008872361,0.021983609,0.024848593,-0.019937778,-0.018539794,-0.11114439,0.020638458,-0.15804674,0.062309228,-0.1703167
Senp2,0.15960881,0.74963254,0.01790592,-0.78014857,-0.120143004,-0.6080625,-0.03633354,0.0348329,-0.027451083,0.011194781,-0.01231782,-0.09872874,0.33745778,-0.012070477,-0.31723332,-0.123660274,-0.09704842,-0.2168117,-0.21420081
Dgkg,0.7393022,-1.9723308,-0.34543154,0.77251,0.28368166,-0.90600723,0.18423556,-0.21242191,-0.21847874,-0.6485035,0.1341432,-0.32127014,-2.0286934,-1.1120472,0.10465058,-0.95112765,1.7587949,-1.2165607,-0.3064537
Dnajb11,-0.0040021213,0.05710938,0.05280976,-0.15066586,-0.27757645,0.27718553,-0.006825929,0.041969832,-0.24038826,-0.035793614,0.08257659,-0.04515425,0.016946858,0.064905785,-0.6916681,-0.014162871,-0.2061513,0.4506655,-0.14964204
Sst,0.84993404,-0.0017427658,-0.227927,-0.043882217,-1.4367447,-0.21082255,0.46910024,-1.0050095,0.53670543,-0.16371904,-0.111322604,-0.95893586,-1.6039915,0.26639655,-0.66633236,-0.60104495,0.58439857,-0.36317495,1.0787015
