,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
10_59,1.5562583,0.5093548,0.72801495,0.77523637,0.99333864,39.28172,0.8277605,0.5581125,3.8965282,0.7875317,4.7772775,0.80130124,1.1655716,1.1859735,1.2511691,2.9259055,0.38536316,0.30498713
10_6,14.379304,1.1322031,0.6710846,0.66819173,1.4722166,1.184373,1.2909019,2.1542025,2.998409,1.2629397,1.7709854,9.289942,1.6042768,0.7208898,5.0239286,0.6212306,0.7298382,0.84266865
10_60,13.471232,0.78711146,0.6213114,0.8077596,0.84675086,1.147286,1.2308238,7.3888206,5.018799,1.334481,2.8552413,5.212302,0.9515476,1.0078037,36.073673,1.1761822,4.368034,1.6619753
10_61,9.646576,11.818553,1.6843652,1.2350214,0.7389319,0.9098438,2.2611477,0.76724076,3.6095047,1.6559403,1.548011,1.7268472,0.4959923,1.3903668,2.8256369,1.3334279,4.689554,3.1233187
10_62,6.897889,3.9663076,1.1959748,1.8050395,0.7659951,0.9833979,1.5355668,1.8337314,2.0010676,1.3181397,4.8201685,1.7397766,0.6345878,1.4588219,15.052571,1.5471674,18.038189,3.9700599
10_63,1.7176007,0.93681324,0.8154365,8.35681,1.1203189,7.2656164,1.5084049,0.69650495,3.9124649,0.5884609,10.52049,1.4369475,1.9567952,6.8258133,4.94095,2.2994726,0.6947452,0.5623804
10_64,17.210957,1.3205736,1.1830461,1.3218732,0.8631686,0.98503196,1.4171479,3.5423007,3.1213384,0.79835755,14.081477,1.6952741,0.8556758,2.19552,16.917643,1.608404,6.752595,2.3899379
10_65,19.357357,2.7481468,1.2338052,0.89791316,0.7347,0.837822,1.3587377,1.9753773,3.3771117,0.7085555,6.1323195,7.044586,1.0248832,0.6116276,16.705948,0.70264953,4.885955,1.460296
10_66,2.675902,2.5908341,5.3142967,1.1881229,1.1055818,1.2558978,113.19841,0.7105504,4.5995455,0.5065392,1.8797535,1.358891,0.8632126,0.95560807,1.719265,1.6094518,2.502946,30.430317
10_67,2.155334,0.63814276,0.46442878,0.896507,82.33215,1.296907,1.5477802,1.1143825,141.75198,0.20113988,0.7890327,1.054992,0.6392588,1.6607431,1.4555665,1.6424582,0.56721616,0.98632663
10_68,11.191677,1.1617775,26.430773,0.81193304,0.77001,0.8682281,1.4041518,3.9740381,3.8390756,1.9924355,0.8183652,2.1918292,0.8482852,1.1735032,2.7398026,1.0315617,15.389709,5.794696
