,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Rarb,-1.6970732,-1.604713,-1.5488689,-2.39608,-0.5427738,-0.73363924,1.5277418,1.2796975,-1.5753108,-1.3832483,-1.3409263,0.91336185,-1.4377358,1.0687723,0.90159553,-0.87813306,1.1376059,-1.3644234,-1.7273449
X2700060E02Rik,0.25781554,0.36471748,0.63066536,-0.18936726,-0.0007001519,0.49634117,-0.17633425,-0.4881095,-1.2148287,0.009595411,-0.1467943,-0.008747219,0.25599587,0.1364839,-0.7536655,-0.389288,-0.2471091,0.36183238,0.08247064
Dnajc9,-0.045368284,0.1442006,0.11164386,-0.019888934,0.44761786,0.060703963,0.082060255,-0.24768098,-1.1996669,-0.052354917,-0.82898444,-0.042798348,0.05541384,-0.049150363,0.014591004,0.008053441,0.008003213,0.11668441,-0.021190433
Mrps16,0.0179777,0.017121665,0.3172019,-0.21490246,0.36313906,0.6046558,-0.37963122,-0.22175589,-0.010509176,-0.97445196,0.3534376,-0.9169993,0.7447882,-0.09458725,0.045476515,0.16346434,0.04807306,0.1890405,-0.3948904
Vcl,-1.0590861,0.43299487,-0.28215796,-1.8841125,0.83818406,-0.3927512,0.39113066,0.44190708,0.36168608,-0.6810882,0.8550641,0.77355564,0.12866332,0.34909666,0.3810974,-1.0125086,-0.029547509,-0.7748129,-0.40471902
Adk,0.10196134,-0.18050946,0.28172287,-0.07269448,0.58966863,0.20356463,-0.7036417,-0.026631353,0.27967805,-0.078992575,0.9892776,-0.20125572,0.37321374,-0.2630809,-0.040969912,-0.03800519,0.002378603,-0.35751468,-0.05373777
Vdac2,0.039611895,0.12685908,-0.56513315,0.01391407,-0.46120992,0.23486164,-0.19418527,0.07850356,0.12799837,0.050782938,-0.90677583,0.036358427,-0.050625112,-0.027348189,-0.10301023,-0.039897025,-0.12327553,0.69920796,-0.017683184
Kcnma1,0.43473053,-0.15599528,-0.5279214,0.6043504,-0.68460345,-1.1965663,-0.009688822,-0.1292251,0.5605526,0.6576706,0.07288684,-0.46652818,-0.43267548,-0.24884644,-0.26261812,0.36651826,0.20504086,-0.45243588,0.33491573
Dlg5,0.26261175,0.63331455,0.08552319,0.017057516,0.7454054,-0.06563181,-0.47610256,-0.73758435,-0.63835746,0.033876505,0.21089011,0.47034362,0.80884266,-0.36384302,-0.33483282,-0.6679222,-0.2665526,0.17904778,-0.6957189
Polr3a,-0.067157686,-0.03309647,-0.14015162,0.03427384,0.029294789,-0.32694566,0.2987182,-0.065177836,-0.54174703,-0.6168221,-0.32094753,0.12042992,0.0050700353,-0.020410482,0.029078837,-0.036010254,0.01259126,0.097096786,-0.0010544858
Arf4,-0.016417569,0.16777952,-0.2971815,-0.08277856,0.047279563,0.2636494,0.3950786,0.13360293,-0.33672276,-0.6615453,-0.04872827,0.6471479,-0.33498374,-0.06609903,0.0171571,-0.23847581,-0.038016506,-0.11746329,-0.053052675
Appl1,0.06914581,-0.048039883,-0.38069066,0.023741126,-0.2514834,-0.64452034,0.06943209,-0.047731373,0.027008554,-0.011492089,0.07656809,0.033187743,-0.16207428,-0.024501352,-0.024860878,-0.009828994,0.00049976364,-0.08823722,-0.006355499
Ccdc66,-0.229215,0.08303706,-0.5469492,-0.13862576,0.26158002,-0.11174007,0.2950614,0.36853135,-0.25777406,-0.03945122,0.27879152,0.42692354,-0.34172305,0.27851063,-0.12058781,-0.15239513,0.009726428,-0.37921023,0.01577876
Erc2,0.124931775,-0.680057,-0.8361556,0.18225248,-0.81161225,-1.3995979,0.25320718,0.38917714,0.6254432,0.6946213,-0.021287529,-0.07598665,-0.9772577,0.03156816,0.025662549,0.11220906,0.25285533,-0.698942,0.20977743
Cacna2d3,-1.5038921,-2.0586689,-0.95689607,-0.47282434,-0.9498537,-1.5909427,1.1499708,1.0543454,-0.11508049,-0.79256004,-1.3425626,0.4725524,-1.8449541,1.011112,0.5152878,-0.88409203,1.0003948,-1.4822137,0.41390306
Actr8,-0.006131828,0.13643108,-0.4952203,-0.0108976215,0.12100394,-0.1589258,0.26082504,-0.30573314,0.0062847845,-0.089678414,-1.053353,0.1051504,0.0010430336,0.054431077,0.047386393,0.013060516,-0.014346396,-0.15808769,-0.004768338
Cacna1d,0.57146585,0.036606807,-1.1441177,0.4398798,-0.47549623,-1.55277,0.29210138,0.0057559297,0.0011459137,0.4908046,-0.49038085,0.4179558,-1.3881754,-0.06807268,-0.25082603,0.27184242,0.029835712,-0.25628462,-0.035030164
